audio_id,language,audio,transcription,duration
141,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\141.wav,by early today winds were around 83 km/h and it was expect to keep weakening,6.6
1187,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1187.wav,hershey and chase used phages or viruses to implant their own dna into a bacterium,6.36
1154,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1154.wav,although winfrey was tearful in her farewell she made it clear to her fans she will be back,12.42
1029,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1029.wav,another difference was that while the poor people and the woman ate their food while sitting in chairs the rich men liked to have banquets together where they would lounge on their sides while they ate their meals,12.12
649,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\649.wav,we will never overhaul a car build a fountain in our backyard travel to peru to examine ancient ruins or remodel our neighbour's house,10.14
1352,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1352.wav,for some understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control,11.7
1142,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1142.wav,we will endeavour to cut carbon dioxide emissions per unit of gdp by a notable margin by 2020 from the 2005 level hu said,14.04
410,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\410.wav,most of the items buried with tutankhamun have been well preserved including thousands of artefacts made from precious metals and rare stones,9.1
334,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\334.wav,it was followed by the istanbul state symphony orchestra a janissary band and the singers fatih erkoç and müslüm gürses,10.94
890,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\890.wav,inland antarctica is a desolate plateau covered by 2-3 km of ice,6.42
419,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\419.wav,estimates range from 340 million to 500 million speakers and as many as 800 million people can understand the language,11.46
1461,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1461.wav,wagonways were built in england as early as the 16th century,4.92
34,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\34.wav,piquet jr was sacked after the 2009 hungarian grand prix,13.26
135,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\135.wav,red tide is caused by a higher than normal concentration of karenia brevis a naturally-occurring single-celled marine organism,10.92
950,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\950.wav,basically you'll be putting up notices offering your help pacing the docks approaching people cleaning their yachts trying to make contact with sailors in the bar etc,10.56
1186,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1186.wav,persian has a relatively easy and mostly regular grammar,4.92
566,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\566.wav,those participating in regular activity required more support in terms of negative perception of pain distinguishing the differences of chronic pain and discomfort feel from normal physical movement,11.28
946,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\946.wav,vikings used the russian waterways to get to the black sea and caspian sea parts of these routes can still be used check possible need for special permits which may be difficult to get,25.02
757,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\757.wav,the old fashioned fittings the lack of the latest amenities and a certain graceful agedness are also part of their character,11.76
1072,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1072.wav,they also define routes for popular hiking and cycling trails,4.8
788,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\788.wav,written words are often easier to understand than spoken words also this is especially true of addresses which are often difficult to pronounce intelligibly,9.74
888,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\888.wav,tourist visits are costly demand physical fitness can only take place in summer nov-feb and are largely limited to the peninsula islands and ross sea,10.62
843,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\843.wav,for one thing northern new mexico has significant problems with drunk driving and the concentration of intoxicated drivers is high close to small-town bars,11.16
1232,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1232.wav,bipedal specializations are found in australopithecus fossils from 4.2-3.9 million years ago although sahelanthropus may have walked on two legs as early as seven million years ago,14.58
1035,en_us,C:\Users\acer\OneDrive\Desktop\hackenza\fleurs_audio\en_us\1035.wav,comets may possibly have been a source of water delivery to the earth along with organic matter that can form proteins and support life,9.0
