audio_id,language,audio,option_1,option_2,option_3,option_4,option_5,correct_option,true_golden_option_index
498,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/498.wav,وأصبح هؤلاء الأشخاص بارعين في البتر لإنقاذ المرضى من الغنغرينا وكذلك العاصبات والمشابك الشريانية لصد تدفق الدم,وأصبح هؤلاء الأشخاص بارعين really في البتر لإنقاذ المرضى من الغنغرينا وكذلك العاصبات والمشابك الشريانية لصد تدفق الدم,هؤلاء الأشخاص بارعين في البتر لإنقاذ المرضى من الغنغرينا وكذلك العاصبات والمشابك الشريانية لصد تدفق الدم,وأصبح هؤلاء الأشخاص في بارعين البتر لإنقاذ المرضى من الغنغرينا وكذلك العاصبات والمشابك الشريانية لصد تدفق الدم,وأصبح هؤلاء الأشخاص بارعين في البتر لإنقاذ المرضى الغنغرينا من وكذلك العاصبات والمشابك الشريانية لصد تدفق الدم,1,1
172,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/172.wav,وتابع قائلاّ هذه القضيّة خطيرةٌ كن مطمئناً إلى نظامنا يعمل كما ينبغي,وتابع قائلاّ هذه القضيّة خطيرةٌ كن مطمئناً إلى أن نظامنا يعمل كما xنبغي,وتابع قائلاّ very هذه القضيّة خطيرةٌ كن مطمئناً إلى أن نظامنا يعمل كما ينبغي,وتابع قائلاّ هذه القضيّة خطيرةٌ كن مطمئناً إلى أن نظامنا يعمل كما ينبغي,وتابع قائلاّ هذه القضيّة خطيرةٌ مطمئناً كن إلى أن نظامنا يعمل كما ينبغي,4,4
836,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/836.wav,في حالات أخرى لا يحتاج إلى التسجيل إلا من يقيمون خارج أماكن الإقامة السياحية ومع ذلك فإن هذا يجعل الmانون أكثر غموضاً لذا اعرف مقدماً,في really حالات أخرى لا يحتاج إلى التسجيل إلا من يقيمون خارج أماكن الإقامة السياحية ومع ذلك فإن هذا يجعل القانون أكثر غموضاً لذا اعرف مقدماً,في حالات أخرى لا يحتاج إلى التسجيل إلا من يقيمون خارج أماكن الإقامة السياحية ومع ذلك فإن هذا يجعل القانون أكثر غموضاً لذا اعرف مقدماً,في حالات أخرى لا يحتاج إلى التسجيل إلا من يقيمون خارج أماكن الإقامة السياحية ومع ذلك فإن هذا يجعل القانون أكثر غموضاً لذا اعرف also مقدماً,في حالات أخرى لا يحتاج إلى التbجيل إلا من يقيمون خارج أماكن الإقامة السياحية ومع ذلك فإن هذا يجعل القانون أكثر غموضاً لذا اعرف مقدماً,3,3
985,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/985.wav,فقد تم الإبلاغ عن أقل من ألف حالة ضمن البشر لكن كان قاتلاً,تم فقد الإبلاغ عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,فقد تم الإبلاغ عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,فقد تم الإبلاغ عن من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,actually فقد تم الإبلاغ عن أقل من ألف حالة ضمن البشر لكن بعضها كان قاتلاً,3,3
1093,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1093.wav,سر نجاحهم هو مفهوم المكانة وظيفi خاصة لكل قطة تمنعها من التنافس مع الآخرين,سر نجاحهم هو مفهوم المكانة خاصة وظيفة لكل قطة تمنعها من التنافس مع الآخرين,سر نجاحهم هو مفهوم المكانة وظيفة خاصة لكل قطة تمنعها من التنافس مع الآخرين,سر نجاحهم هو مفهوم المكانة وظيفة خاصة لكل قطة تمنعها من مع التنافس الآخرين,سر also نجاحهم هو مفهوم المكانة وظيفة خاصة لكل قطة تمنعها من التنافس مع الآخرين,3,3
23,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/23.wav,على الرغم من هذه الاتهامات ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز ما بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز ما very بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز بسهولة على منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,على الرغم من هذه الاتهامات فاز ما بسهولةdعلى منصة تدعو إلى توثيق العلاقات مع البر الرئيسي الصيني,2,2
833,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/833.wav,يtعَد التسجيل مطلب إضافي لعملية التأشيرة ففي بعض البلدان يجب عليك تسجيل حضورك وعنوانك لدى السلطات المحلية حيث تقيم,يُعَد التسجيل مطلب إضافي لعملية التأشيرة ففي بعض البلدان يجب عليك تسجيل حضورك وعنوانك لدى السلطات المحلية حيث تقيم,يُعَد التسجيل مطلب إضافي لعملية التأشيرة ففي بعض البلدان يجب عليك تسجيل وعنوانك لدى السلطات المحلية حيث تقيم,يُعَد التسجيل مطلب إضافي لعملية التأشيرة ففي بعض البلدان يجب عليك تسجيل very حضورك وعنوانك لدى السلطات المحلية حيث تقيم,يُعَد التسجيل مطلب إضافي لعملية التأشيرة ففي بعض يجب البلدان عليك تسجيل حضورك وعنوانك لدى السلطات المحلية حيث تقيم,2,2
825,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/825.wav,ألقِ نظرة على الرحلات التي يقوم الوكيل بترويجها سواءً كان ذلك على موقع إلrتروني أو في نافذة متجر,ألقِ نظرة على الرحلات التي يقوم بترويجها سواءً كان ذلك على موقع إلكتروني أو في نافذة متجر,ألقِ نظرة على الرحلات التي يقوم الوكيل بترويجها سواءً كان ذلك موقع على إلكتروني أو في نافذة متجر,ألقِ نظرة على الرحلات التي يقوم الوكيل بترويجها سواءً كان ذلك على موقع إلكتروني أو في نافذة متجر,ألقِ نظرة على الرحلات التي يقوم الوكيل بترويجها سواءً كان ذلك على موقع إpكتروني أو في نافذة متجر,4,4
645,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/645.wav,يوفر منهج ما بعد التمدن التعليمي التحرر من المطلقات فليس هناك طريقة واحدة kيدة للتعلم,يوفر منهج ما بعد التمدن التعليمي التحرر من المطلقات فليس هناك طريقة واحدة جيدة,يوفر منهج actually ما بعد التمدن التعليمي التحرر من المطلقات فليس هناك طريقة واحدة جيدة للتعلم,يوفر منهج ما بعد التمدن tلتعليمي التحرر من المطلقات فليس هناك طريقة واحدة جيدة للتعلم,يوفر منهج ما بعد التمدن التعليمي التحرر من المطلقات فليس هناك طريقة واحدة جيدة للتعلم,5,5
1408,ar_eg,/Users/khushi/Documents/Team-team/fleurs_audio/ar_eg/1408.wav,"أصدر أكثر من 1,000 طابع و28 للسويد دولة أخرى","أكثر أصدر من 1,000 طابع للسويد و28 دولة أخرى","أصدر أكثر من 1,000 طابع للسويد و28 دولة أخرى","أصدر أكثر من 1,000 طابع basically للسويد و28 دولة أخرى","أصدر أكnر من 1,000 طابع للسويد و28 دولة أخرى",3,3
